Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T22:04:14
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14283.5 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 2: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=67%
- Gen 3: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=93%
- Gen 4: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 5: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 6: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 7: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 8: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 9: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 10: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=83.7s | real_t=0.6s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=5/10 | ind=6/15 | fit=6571.07 | kills=3/5 | dmg=205 | sim_t=107.30s | real_t=0.96s | frames=6438 | stuck=54f | osc=0 | hongos=0 | ok=NO | motivo=dead
- gen=5/10 | ind=7/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.68s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=8/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.63s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=9/15 | fit=9222.42 | kills=4/5 | dmg=280 | sim_t=200.00s | real_t=1.69s | frames=12000 | stuck=46f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=10/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.63s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=11/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.61s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=12/15 | fit=6335.99 | kills=3/5 | dmg=190 | sim_t=185.38s | real_t=1.70s | frames=11123 | stuck=64f | osc=0 | hongos=0 | ok=NO | motivo=dead
- gen=5/10 | ind=13/15 | fit=14153.30 | kills=5/5 | dmg=330 | sim_t=162.53s | real_t=1.11s | frames=9752 | stuck=62f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=5/10 | ind=14/15 | fit=1846.66 | kills=1/5 | dmg=95 | sim_t=71.88s | real_t=0.54s | frames=4313 | stuck=56f | osc=0 | hongos=0 | ok=NO | motivo=dead
- gen=5/10 | ind=15/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.60s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=1/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.60s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=2/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.58s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=3/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.56s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
